,movie_title,director,principal_cast
703,Mortal Engines (2018),Christian Rivers,"Robert Sheehan, Jihae, Hugo Weaving, Hera Hilmar"
704,Searching (2018),Aneesh Chaganty,"Joseph Lee, John Cho, Michelle La, Debra Messing"
705,The Spy Who Dumped Me (2018),Susanna Fogel,"Vilma Szécsi, Mila Kunis, Justin Theroux, Blanka Györfi-Tóth"
706,Spirited Away (2001),Hayao Miyazaki,"Daveigh Chase, Rumi Hiiragi, Suzanne Pleshette, Miyu Irino"
707,Shoplifters (2018),Hirokazu Koreeda,"Mayu Matsuoka, Sakura Andô, Lily Franky, Kirin Kiki"
708,Capernaum (2018),Nadine Labaki,"Zain Al Rafeea, Kawsar Al Haddad, Boluwatife Treasure Bankole, Yordanos Shiferaw"
709,Isle of Dogs (2018),Wes Anderson,"Edward Norton, Bryan Cranston, Koyu Rankin, Bob Balaban"
710,Adrift (2018),Baltasar Kormákur,"Elizabeth Hawthorne, Shailene Woodley, Jeffrey Thomas, Sam Claflin"
711,Early Man (2018),Nick Park,"Tom Hiddleston, Eddie Redmayne, Maisie Williams, Timothy Spall"
712,Deadpool 2 (2018),David Leitch,"Julian Dennison, Morena Baccarin, Ryan Reynolds, Josh Brolin"
713,Death Wish (2018),Eli Roth,"""Vincent DOnofrio"", Bruce Willis, Elisabeth Shue, Camila Morrone"
714,Andhadhun (2018),Sriram Raghavan,"Anil Dhawan, Tabu, Ayushmann Khurrana, Radhika Apte"
715,Golden Job (2018),Kar Lok Chin,"Ekin Cheng, Jordan Chan, Michael Tse, Kar Lok Chin"
716,Uncle Drew (2018),Charles Stone III,"Chris Webber, ""Shaquille ONeal"", Kyrie Irving, Lil Rel Howery"
717,Annihilation (2018),Alex Garland,"Tessa Thompson, Benedict Wong, Jennifer Jason Leigh, Natalie Portman"
718,Long Day's Journey Into Night (2018),Bi Gan,"Hong-Chi Lee, Sylvia Chang, Jue Huang, Wei Tang"
719,Show Dogs (2018),Raja Gosnell,"Will Arnett, Stanley Tucci, Natasha Lyonne, Ludacris"
720,Till The End Of The World (2018),Youyin Wu,"Anastasia Berestova, Mark Chao, Jao Felipe, Zishan Yang"
721,Mia and the White Lion (2018),Gilles de Maistre,"Daniah De Villiers, Langley Kirkwood, Ryan Mac Lennan, Mélanie Laurent"
722,The Hurricane Heist (2018),Rob Cohen,"Maggie Grace, Ralph Ineson, Ryan Kwanten, Toby Kebbell"
723,Free Solo (2018),Jimmy Chin,"Alex Honnold, Jimmy Chin, Tommy Caldwell, Cheyne Lempe"
724,Pad Man (2018),R. Balki,"Jyoti Subhash, Sonam Kapoor, Radhika Apte, Akshay Kumar"
725,My Neighbor Totoro (1988),Hayao Miyazaki,"Chika Sakamoto, Hitoshi Takagi, Shigesato Itoi, Noriko Hidaka"
726,Hichki (2018),Siddharth Malhotra,"Rohit Saraf, Rani Mukerji, Neeraj Kabi, Sachin Pilgaonkar"
727,Mojin: The Worm Valley (2018),Xing Fei,"Hang Cai, Xuan Gu, Taishen Cheng, Heng Yu"
728,Big Brother (2018),Ka-Wai Kam,"Kang Yu, Donnie Yen, Ming-Kit Lok, Joe Chen"
729,Master Z: The Ip Man Legacy (2018),Woo-Ping Yuen,"Jin Zhang, Dave Bautista, Michelle Yeoh, Tony Jaa"
730,My Hero Academia: Two Heroes (2018),Kenji Nagasaki,"Mirai Shida, Kenta Miyake, Nobuhiko Okamoto, Daiki Yamashita"
731,Oolong Courtyard: KungFu School (2018),Yen-Ping Chu,"Fok Siu-Man, Xiaobao Song, Man-Tat Ng"
732,Airpocalypse (2018),Yang Xiao,"Xiaobao Song, Juan Du, Yang Xiao, Yuan Chang"
733,102 Not Out (2018),Umesh Shukla,"Vijay Raaz, Rishi Kapoor, Jimit Trivedi, Amitabh Bachchan"
734,Thugs of Hindostan (2018),Vijay Krishna Acharya,"Aamir Khan, Katrina Kaif, Lloyd Owen, Amitabh Bachchan"
735,Luis and the Aliens (2018),Christoph Lauenstein,"Paul Tylak, Ian Coppinger, Dermot Magennis, Callum Maloney"
736,Tall Tales from the Magical Garden of Antoon Krings (2017),Arnaud Bouron,"Anne Tilloy, Emmanuel Curtil, Kev Adams, Virginie Efira"
737,Tall Tales from the Magical Garden of Antoon Krings (2017),Arnaud Bouron,"Anne Tilloy, Emmanuel Curtil, Kev Adams, Virginie Efira"
738,Tall Tales from the Magical Garden of Antoon Krings (2017),Arnaud Bouron,"Anne Tilloy, Emmanuel Curtil, Kev Adams, Virginie Efira"
739,Last Letter (2018),Shunji Iwai,"Hao Qin, Jiang Du, Zifeng Zhang, Xun Zhou"
740,Ash Is Purest White (2018),Zhangke Jia,"Fan Liao, Tao Zhao, ""Yinan Diao"", Jiali Ding"
741,2.0 (2018),S. Shankar,"Amy Jackson, Adil Hussain, Rajinikanth, Akshay Kumar"
742,Lobster Cop (2018),Xinyun Li,"Hua Liu, You Zhou, Shanshan Yuan, Qianyuan Wang"
743,Girls vs Gangsters (2018),Barbara Wong Chun-Chun,"Ivy Yi-Han Chen, Fiona Sit, Janine Chun-Ning Chang, Mike Tyson"
744,Papillon (2017),Michael Noer,"Christopher Fairbank, Damijan Oklopdzic, Charlie Hunnam, Jason Ryan"
745,Replicas (2018),Jeffrey Nachmanoff,"Alice Eve, John Ortiz, Keanu Reeves, Thomas Middleditch"
746,Mobile Suit Gundam Narrative (2018),Shun'ichi Yoshizawa,"Paul Guyet, Daniel J. Edwards, J. David Brimmer, Wayne Grayson"
747,Penguin Highway (2018),Hiroyasu Ishida,"Landen Beattie, Tony Azzolino, Kana Kita, Yû Aoi"
748,Custody (2017),Xavier Legrand,"Denis Ménochet, Léa Drucker, Thomas Gioria, Mathilde Auneveux"
749,Patrick the Pug (2018),Mandie Fletcher,"Beattie Edmondson, Sam Fletcher, Ann Queensberry, Rupert Holliday-Evans"
750,Maquia: When the Promised Flower Blooms (2018),Mari Okada,"Yôko Hikasa, Manaka Iwami, Miyu Irino, Hiroaki Hirata"
751,The Breadwinner (2017),Nora Twomey,"Soma Chhaya, Saara Chaudry, Laara Sadiq, Noorin Gulamgaus"
752,Maria By Callas (2017),Tom Volf,"Fanny Ardant, Joyce DiDonato, David Frost, Maria Callas"
753,Shed Skin Papa (2016),Roy Szeto,"Kuan Tai Chen, Kwok-Pong Chan, Louis Koo, Francis Ng"
754,The Captain (2019),Andrew Lau,"Quan Yuan, Hao Ou, Hanyu Zhang, Jiang Du"
755,Roma (2018),Alfonso Cuarón,"Yalitza Aparicio, Carlos Peralta, Diego Cortina Autrey, Marina de Tavira"
756,Ryuichi Sakamoto: Coda (2017),Stephen Nomura Schible,"Yellow Magic Orchestra, Ryuichi Sakamoto"
757,Have a Nice Day (2017),Jian Liu,"Siming Yang, Kai Cao, Changlong Zhu, Jian Liu"
758,Red Sorghum (1988),Yimou Zhang,"Ji Liu, Wen Jiang, Rujun Teng, Li Gong"
759,Avengers: Endgame (2019),Anthony Russo,"Mark Ruffalo, Chris Hemsworth, Robert Downey Jr., Chris Evans"
760,The Lion King (2019),Jon Favreau,"Beyoncé, Donald Glover, Seth Rogen, Chiwetel Ejiofor"
761,Frozen II (2019),Chris Buck,"Josh Gad, Jonathan Groff, Idina Menzel, Kristen Bell"
762,Spider,Jon Watts,"Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Tom Holland"
763,Captain Marvel (2019),Anna Boden,"Ben Mendelsohn, Samuel L. Jackson, Jude Law, Brie Larson"
764,Star Wars: Episode IX,J.J. Abrams,"Adam Driver, Oscar Isaac, Daisy Ridley, John Boyega"
765,Toy Story 4 (2019),Josh Cooley,"Tom Hanks, Annie Potts, Tim Allen, Tony Hale"
766,Aladdin (2019),Guy Ritchie,"Marwan Kenzari, Will Smith, Naomi Scott, Mena Massoud"
767,Jumanji: The Next Level (2019),Jake Kasdan,"Jack Black, Kevin Hart, Karen Gillan, Dwayne Johnson"
768,Fast & Furious Presents: Hobbs & Shaw (2019),David Leitch,"Vanessa Kirby, Idris Elba, Jason Statham, Dwayne Johnson"
769,Ne Zha (2019),Yu Yang,"Yanting Lü, Mo Han, Hao Chen, Joseph"
770,The Wandering Earth (2019),Frant Gwo,"Jing Wu, Guangjie Li, Man-Tat Ng, Chuxiao Qu"
771,How to Train Your Dragon: The Hidden World (2019),Dean DeBlois,"America Ferrera, F. Murray Abraham, Jay Baruchel, Cate Blanchett"
772,Maleficent: Mistress of Evil (2019),Joachim Rønning,"Harris Dickinson, Elle Fanning, Michelle Pfeiffer, Angelina Jolie"
773,"My People, My Country (2019)",Kaige Chen,"Bai Qing Xin, Hao Ou, Bo Huang, Qianyuan Wang"
774,Pokémon Detective Pikachu (2019),Rob Letterman,"Bill Nighy, Ryan Reynolds, Justice Smith, Kathryn Newton"
775,The Secret Life of Pets 2 (2019),Chris Renaud,"Patton Oswalt, Eric Stonestreet, Kevin Hart, Harrison Ford"
776,Alita: Battle Angel (2019),Robert Rodriguez,"Christoph Waltz, Jennifer Connelly, Mahershala Ali, Rosa Salazar"
777,Godzilla: King of the Monsters (2019),Michael Dougherty,"Kyle Chandler, Millie Bobby Brown, Vera Farmiga, Ken Watanabe"
778,Shazam! (2019),David F. Sandberg,"Asher Angel, Zachary Levi, Mark Strong, Jack Dylan Grazer"
779,Dumbo (2019),Tim Burton,"Colin Farrell, Danny DeVito, Michael Keaton, Eva Green"
780,Knives Out (2019),Rian Johnson,"Ana de Armas, Chris Evans, Daniel Craig, Jamie Lee Curtis"
781,Terminator: Dark Fate (2019),Tim Miller,"Arnold Schwarzenegger, Mackenzie Davis, Linda Hamilton, Natalia Reyes"
782,Men in Black: International (2019),F. Gary Gray,"Chris Hemsworth, Rebecca Ferguson, Tessa Thompson, Kumail Nanjiani"
783,X,Simon Kinberg,"Jennifer Lawrence, Nicholas Hoult, James McAvoy, Michael Fassbender"
784,The Bravest (2019),Tony Chan,"Xiaoming Huang, Zi Yang, Zhuo Tan, Jiang Du"
785,Better Days (2019),Derek Tsang,"Fang Yin, Jue Huang, Dongyu Zhou, Jackson Yee"
786,Weathering with You (2019),Makoto Shinkai,"Sei Hiraizumi, Nana Mori, Kotaro Daigo, Shun Oguri"
787,Downton Abbey (2019),Michael Engler,"Michael Fox, Sophie McShera, Stephen Campbell Moore, Lesley Nicol"
788,The Lego Movie 2: The Second Part (2019),Mike Mitchell,"Will Arnett, Elizabeth Banks, Chris Pratt, Tiffany Haddish"
789,The White Storm 2: Drug Lords (2019),Herman Yau,"Andy Lau, Louis Koo, Kar Yan Lam, Kiu Wai Miu"
790,Gemini Man (2019),Ang Lee,"Mary Elizabeth Winstead, Will Smith, Clive Owen, Benedict Wong"
791,Spies in Disguise (2019),Nick Bruno,"Claire Crosby, Jarrett Bruno, Toru Uchikado, Rachel Brosnahan"
792,The Climbers (2019),Daniel Lee,"Jing Wu, Boran Jing, Ziyi Zhang, Yi Zhang"
