china_total_gross,budget,running_time,release_order_CN_first,star_power_sum
3453141.0,125000000.0,123.0,0,144693862
3376447.0,103000000.0,155.0,0,0
10800219.0,48000000.0,118.0,1,90774479
1168081.0,30000000.0,124.0,0,0
6880952.0,93000000.0,178.0,0,385912934
849069.0,60000000.0,90.0,0,195477134
3477429.0,98000000.0,130.0,0,0
2137721.0,115000000.0,100.0,0,0
1294898.0,50000000.0,127.0,0,304507613
2989677.0,94000000.0,179.0,0,487611825
839834.0,59000000.0,81.0,0,718141292
1262377.0,52000000.0,141.0,0,285919715
1936305.0,60000000.0,119.0,0,90235156
10427541.0,94000000.0,201.0,0,487611825
982229.0,137000000.0,138.0,0,0
2454581.0,150000000.0,138.0,0,323186394
2108767.0,60000000.0,111.0,0,0
994472.0,40000000.0,89.0,0,0
202519.0,30000000.0,97.0,0,0
1361040.0,60000000.0,135.0,0,0
1498663.0,150000000.0,93.0,0,195477134
2500000.0,130000000.0,142.0,0,1088516816
1600000.0,30000000.0,127.0,0,0
9839826.0,125000000.0,124.0,1,0
4100000.0,175000000.0,163.0,1,262208524
1938000.0,75000000.0,90.0,0,186525896
1662020.0,120000000.0,115.0,0,153108323
1809631.0,75000000.0,108.0,0,90235156
2600723.0,50000000.0,80.0,0,0
665860.0,75000000.0,99.0,0,63976865
18952265.0,20000000.0,99.0,1,0
3032810.0,20000000.0,97.0,0,0
2436417.0,25000000.0,97.0,0,0
250941.0,31000000.0,98.0,0,781310416
1851116.0,45000000.0,113.0,0,0
172650.0,57000000.0,95.0,0,0
77630000.0,160000000.0,123.0,0,358906359
11500000.0,150000000.0,157.0,1,1088516816
7800000.0,180000000.0,143.0,0,0
6546031.0,132000000.0,116.0,0,144693862
12684023.0,207000000.0,187.0,0,120238144
7508590.0,110000000.0,114.07953063885267,0,100267327
10161479.0,150000000.0,126.0,0,144693862
1049000.0,150000000.0,140.0,0,155626837
3049029.0,80000000.0,128.0,1,45774257
3773735.0,75000000.0,129.0,1,0
3751032.0,32000000.0,87.0,0,104639373
3210338.0,135000000.0,121.0,0,0
16793054.0,30000000.0,87.0,0,0
269196633.0,100000000.0,112.0,0,0
13206121.0,125000000.0,149.0,1,334158605
4550647.0,80000000.0,91.0,0,718141292
11735457.0,150000000.0,144.0,0,198323137
8000000.0,270000000.0,154.0,0,0
386573.0,100000000.0,108.0,0,120145773
2401750.0,35000000.0,109.0,0,50057162
848578.0,55000000.0,117.0,0,153108323
4376272.0,100000000.0,104.0,0,0
1409498.0,82500000.0,107.0,0,63976865
2034083.0,85000000.0,86.0,1,0
